127.0.0.1 - - [08/May/2024:08:18:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:01 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/login/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:01 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/main.jsp HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:01 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:02 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/login/login.jsp HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:02 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:07 +0900] "POST /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/login/loginProc.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:08 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/main.jsp?mname=%EA%B4%80%EB%A6%AC%EC%9E%90&id=admin&mnum=1001 HTTP/1.1" 200 4112
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:08 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:10 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageBook/showBookByCategory.jsp HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [08/May/2024:08:32:10 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
